id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao;
2313804;2022;PL;25;Em todas as praias brasileiras será obrigatório a existência de rampas de acessibilidade para deficientes com acesso ao mar, aos lagos e rios, a responsabilidade será de todas as esferas de governo, Federal, Estadual e Municipal.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313806;2022;PL;26;Dispõe sobre o prazo de validade do Laudo Médico Pericial que atesta o Transtorno do Espectro Autista e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313807;2022;PL;27;Estabelece a obrigatoriedade de apresentação de comprovante de vacinação para as eleições gerais de 2022 e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313809;2022;PL;28;Dispõe sobre o fornecimento de
alimentação escolar aos
professores e demais
profissionais da educação, em
efetivo exercício nas escolas
públicas estaduais e municipais.;[('Pompeo de Mattos', 10000, 'Deputado')];925;
2313812;2022;PL;29;Inclui a vacinação contra a Covid-19 no Programa Nacional de Imunizações (PNI).;[('Dagoberto Nogueira', 10000, 'Deputado')];None;
2313814;2022;PL;30;Dispõe sobre instituição do Programa de Apoio à Oncologia Infantil e Enfermidades Correlacionadas e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313817;2022;PL;31;Institui a obrigatoriedade de vigilantes do sexo feminino nos estabelecimentos de prestação de serviços financeiros e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313819;2022;PL;32;Fica expressamente proibida a edição de qualquer legislação que tenha por objetivo a destruição, exploração e uso inadequado das cavidades subterrâneas no Brasil e dá outras providencias.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313821;2022;PL;34;Institui o passaporte vacinal de imunização contra a Covid para todos os alunos da rede pública ou privada de ensino, seja em escolas, faculdades ou universidades.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313823;2022;PL;35;Assegura às pessoas com deficiência visual o direito de receber de fornecedores de produtos ou serviços e das instituições financeiras, a pedido, os contratos de adesão e demais documentos essenciais para a relação de consumo, com a utilização do Sistema Braille ou outro formato acessível.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313827;2022;PL;37;Dispõe sobre a prioridade das mulheres responsáveis pela unidade familiar ou vítimas de violência doméstica e de baixa renda, nos programas de habitação de interesse social, e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313828;2022;PL;38;Dispõe sobre o reconhecimento do risco da atividade e a efetiva necessidade do porte de arma de fogo para o atirador esportivo integrante de entidade de desporto legalmente constituída nos termos do inciso IX, do art. 5º, da Lei Federal nº 10.826, de 22 de dezembro de 2003 e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313829;2022;PL;40;Autoriza o Poder Executivo Federal regulamentar sobre criação da licença para doação de medula óssea no serviço público.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313830;2022;PL;41;Proíbe o exercício de cargo, emprego ou função pública por pessoa condenada pelo crime de maus-tratos contra animais.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313831;2022;PL;43;Dispõe sobre a obrigatoriedade dos condomínios edilícios disponibilizarem por apartamento, um sistema eletrônico, via interfone ou aparelho similar, um botão de alarme para acionar a portaria do prédio, em casos de ocorrência de violência doméstica contra mulheres, crianças, adolescentes, idosos ou pessoas com deficiência.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313832;2022;PL;44;Institui a obrigatoriedade da assistência do profissional farmacêutico nas empresas que exercem atividade de transporte de produtos farmacêuticos e farmoquímicos, sujeitos à fiscalização da Agencia Nacional de Vigilância Sanitária e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313833;2022;PL;45;Dispõe sobre a proibição da realização de publicidade de cunho misógino, sexista ou estimuladora de qualquer tipo de violência sexual e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313835;2022;PL;46;Institui a Lei de Defesa do Empreendedor, que estabelece normas de proteção à livre iniciativa e ao livre exercício da atividade econômica, e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313836;2022;PL;47;Institui a Campanha de Conscientização sobre a Depressão Infantil e na Adolescência e dá outras providências;[('Alexandre Frota', 10000, 'Deputado')];925;
